NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	146	-0.80600643	---	---	1.0	0.0	793	tags=66%, list=7%, signal=70%	
INORGANIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0098660	INORGANIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0098660	Details ...	198	-0.19955626	---	---	1.0	0.0	828	tags=13%, list=7%, signal=14%	
REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	Details ...	189	-0.31894833	---	---	1.0	0.0	775	tags=23%, list=7%, signal=25%	
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0071407	CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0071407	Details ...	164	-0.22338529	---	---	1.0	0.0	979	tags=18%, list=9%, signal=20%	
POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	POSITIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033674	Details ...	171	-0.21731308	---	---	1.0	0.0	791	tags=16%, list=7%, signal=17%	
INFLAMMATORY RESPONSE%GOBP%GO:0006954	INFLAMMATORY RESPONSE%GOBP%GO:0006954	Details ...	172	-0.44386116	---	---	1.0	0.0	761	tags=30%, list=7%, signal=31%	
REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002697	REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002697	Details ...	179	-0.29950556	---	---	1.0	0.0	1129	tags=25%, list=10%, signal=27%	
G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	Details ...	200	-0.2978135	---	---	1.0	0.0	820	tags=23%, list=7%, signal=24%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	78	-0.85243946	-4.2871785	0.0	0.0	0.0	780	tags=78%, list=7%, signal=83%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	Details ...	132	-0.71428007	-3.532087	0.0	0.0	0.0	907	tags=57%, list=8%, signal=61%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	143	-0.7066228	-3.501815	0.0	0.0	0.0	907	tags=64%, list=8%, signal=69%	
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 81%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 81%909733	Details ...	58	-0.72049034	-3.4172924	0.0	0.0	0.0	833	tags=59%, list=7%, signal=63%	
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 81%6783783	INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 81%6783783	Details ...	32	-0.8346612	-3.3800151	0.0	0.0	0.0	636	tags=59%, list=6%, signal=63%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	42	-0.7376664	-3.2540295	0.0	0.0	0.0	780	tags=62%, list=7%, signal=66%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20240310%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20240310%WP4197%HOMO SAPIENS	Details ...	18	-0.7843069	-2.899117	0.0	0.0	0.0	780	tags=61%, list=7%, signal=66%	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20240310%WP5095%HOMO SAPIENS	OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20240310%WP5095%HOMO SAPIENS	Details ...	30	-0.74641335	-2.8944955	0.0	0.0	0.0	527	tags=60%, list=5%, signal=63%	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20240310%WP619%HOMO SAPIENS	TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20240310%WP619%HOMO SAPIENS	Details ...	23	-0.7863443	-2.8868763	0.0	0.0	0.0	536	tags=57%, list=5%, signal=59%	
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	Details ...	103	-0.53203744	-2.8550706	0.0	0.0	0.0	782	tags=38%, list=7%, signal=40%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	147	-0.5442883	-2.8414412	0.0	0.0	0.0	782	tags=40%, list=7%, signal=43%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	65	-0.6182286	-2.8183937	0.0	0.0	0.0	782	tags=51%, list=7%, signal=54%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069		64	-0.6277951	-2.8029313	0.0	0.0	0.0	780	tags=44%, list=7%, signal=47%	
MIRNA ROLE IN IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20240310%WP4329%HOMO SAPIENS	MIRNA ROLE IN IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20240310%WP4329%HOMO SAPIENS		27	-0.704729	-2.801047	0.0	0.0	0.0	1028	tags=59%, list=9%, signal=65%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.7	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.7		73	-0.57518655	-2.7985895	0.0	0.0	0.0	833	tags=40%, list=7%, signal=43%	
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219	CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219		96	-0.5166842	-2.747252	0.0	0.0	0.0	1064	tags=47%, list=9%, signal=51%	
CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0071222	CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0071222		87	-0.5322886	-2.6962936	0.0	0.0	0.0	1064	tags=49%, list=9%, signal=54%	
CELLULAR RESPONSE TO TYPE II INTERFERON%GOBP%GO:0071346	CELLULAR RESPONSE TO TYPE II INTERFERON%GOBP%GO:0071346		42	-0.63096243	-2.6877952	0.0	0.0	0.0	1069	tags=55%, list=9%, signal=60%	
RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341		59	-0.63196015	-2.6798754	0.0	0.0	0.0	1069	tags=53%, list=9%, signal=58%	
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.6	CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.6		20	-0.7375206	-2.6571825	0.0	0.0	0.0	458	tags=55%, list=4%, signal=57%	
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS%GOBP%GO:0050792		122	-0.49291462	-2.6549973	0.0	0.0	0.0	782	tags=34%, list=7%, signal=37%	
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240310%WP4868%HOMO SAPIENS	TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240310%WP4868%HOMO SAPIENS		25	-0.6900377	-2.6456945	0.0	0.0	0.0	536	tags=48%, list=5%, signal=50%	
SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20240310%WP5039%HOMO SAPIENS	SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20240310%WP5039%HOMO SAPIENS		47	-0.6407894	-2.6381493	0.0	0.0	0.0	554	tags=47%, list=5%, signal=49%	
RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496	RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496		116	-0.46663857	-2.5875812	0.0	0.0	0.0	1064	tags=44%, list=9%, signal=48%	
IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS	IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS		22	-0.7036557	-2.584416	0.0	0.0	0.0	898	tags=59%, list=8%, signal=64%	
STING PATHWAY IN KAWASAKI LIKE DISEASE AND COVID 19%WIKIPATHWAYS_20240310%WP4961%HOMO SAPIENS	STING PATHWAY IN KAWASAKI LIKE DISEASE AND COVID 19%WIKIPATHWAYS_20240310%WP4961%HOMO SAPIENS		18	-0.73539335	-2.5798693	0.0	0.0	0.0	898	tags=50%, list=8%, signal=54%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340		30	-0.63073087	-2.5443726	0.0	0.0	0.0	780	tags=50%, list=7%, signal=54%	
PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME DATABASE ID RELEASE 81%375276	PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME DATABASE ID RELEASE 81%375276		41	-0.5806842	-2.516763	0.0	1.0470659E-4	0.001	820	tags=39%, list=7%, signal=42%	
PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20240310%WP3617%HOMO SAPIENS	PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20240310%WP3617%HOMO SAPIENS		22	-0.6913585	-2.515192	0.0	1.0187668E-4	0.001	687	tags=55%, list=6%, signal=58%	
CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221	CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221		182	-0.45071173	-2.5078204	0.0	9.919571E-5	0.001	1094	tags=37%, list=10%, signal=40%	
POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042531	POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042531		19	-0.7119524	-2.5050573	0.0	9.6652235E-5	0.001	597	tags=47%, list=5%, signal=50%	
VITAMIN B12 METABOLISM%WIKIPATHWAYS_20240310%WP1533%HOMO SAPIENS	VITAMIN B12 METABOLISM%WIKIPATHWAYS_20240310%WP1533%HOMO SAPIENS		18	-0.7068886	-2.5042813	0.0	9.423593E-5	0.001	899	tags=56%, list=8%, signal=60%	
HOST PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES INTERFERON INDUCTION%WIKIPATHWAYS_20240310%WP4880%HOMO SAPIENS	HOST PATHOGEN INTERACTION OF HUMAN CORONAVIRUSES INTERFERON INDUCTION%WIKIPATHWAYS_20240310%WP4880%HOMO SAPIENS		33	-0.6082508	-2.481633	0.0	1.7497063E-4	0.002	536	tags=42%, list=5%, signal=44%	
SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20240310%WP15%HOMO SAPIENS	SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20240310%WP15%HOMO SAPIENS		40	-0.565606	-2.4519787	0.0	1.7080466E-4	0.002	657	tags=35%, list=6%, signal=37%	
SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20240310%WP4912%HOMO SAPIENS	SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20240310%WP4912%HOMO SAPIENS		16	-0.7096762	-2.44064	0.0	1.6683247E-4	0.002	536	tags=44%, list=5%, signal=46%	
CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347	CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347		47	-0.53094256	-2.436891	0.0	1.6304081E-4	0.002	753	tags=43%, list=7%, signal=45%	
POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060760	POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060760		40	-0.5780373	-2.4273293	0.0	1.5941769E-4	0.002	604	tags=38%, list=5%, signal=39%	
