NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	79	0.7716641	2.5100605	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	79	0.76772505	2.5013945	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	79	0.77351975	2.499975	0.0	0.0	0.0	1921	tags=90%, list=17%, signal=107%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	79	0.77238244	2.4992895	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	79	0.7699909	2.4935598	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	Details ...	80	0.76875174	2.4921286	0.0	0.0	0.0	1921	tags=88%, list=17%, signal=105%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	79	0.77334225	2.4884868	0.0	0.0	0.0	1921	tags=90%, list=17%, signal=107%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	79	0.7707442	2.4862132	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	79	0.768927	2.4853857	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	79	0.7723195	2.4828234	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	79	0.77133375	2.4820988	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	79	0.7723195	2.4803584	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	79	0.76797813	2.4728107	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	79	0.7678586	2.472681	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	79	0.772508	2.4699557	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	79	0.7719942	2.4686873	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	79	0.7714104	2.465965	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20240310%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20240310%WP477%HOMO SAPIENS	Details ...	82	0.756125	2.4545345	0.0	0.0	0.0	1921	tags=83%, list=17%, signal=99%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	79	0.76367265	2.443665	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	Details ...	79	0.75749516	2.4398108	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517		79	0.7659588	2.4394224	0.0	0.0	0.0	1921	tags=89%, list=17%, signal=106%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6		88	0.7348353	2.4117534	0.0	0.0	0.0	1921	tags=78%, list=17%, signal=94%	
